Country Name,Country Code,GNI per capita 2019 (USD)
Northern Mariana Islands,MNP,
Mozambique,MOZ,480
Mauritania,MRT,1660
Mauritius,MUS,12740
Malawi,MWI,380
Malaysia,MYS,11200
North America,NAC,63777.6034292732
Namibia,NAM,5060
New Caledonia,NCL,
Niger,NER,560
Nigeria,NGA,2030
Nicaragua,NIC,1910
Netherlands,NLD,53200
Norway,NOR,82500
Nepal,NPL,1090
Nauru,NRU,14230
New Zealand,NZL,42670
OECD members,OED,40115.3827331575
Oman,OMN,15330
Other small states,OSS,13765.9505949808
Pakistan,PAK,1530
Panama,PAN,14950
Peru,PER,6740
Philippines,PHL,3850
Palau,PLW,
Papua New Guinea,PNG,2780
Poland,POL,15200
Pre-demographic dividend,PRE,1424.44606050133
Puerto Rico,PRI,21970
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,23080
Paraguay,PRY,5510
West Bank and Gaza,PSE,
Pacific island small states,PSS,4213.05767125545
Post-demographic dividend,PST,46456.0789620642
French Polynesia,PYF,
Qatar,QAT,63410
Romania,ROU,12630
Russian Federation,RUS,11260
Rwanda,RWA,820
South Asia,SAS,2018.59199325412
Saudi Arabia,SAU,22850
Sudan,SDN,590
Senegal,SEN,1450
Singapore,SGP,59590
Solomon Islands,SLB,2050
Sierra Leone,SLE,500
El Salvador,SLV,4000
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,7020
Sub-Saharan Africa (excluding high income),SSA,1536.00828049843
South Sudan,SSD,
Sub-Saharan Africa,SSF,1550.18207125541
Small states,SST,12477.0747419565
Sao Tome and Principe,STP,1960
Suriname,SUR,5540
Slovak Republic,SVK,19320
Slovenia,SVN,25750
Sweden,SWE,55840
Eswatini,SWZ,3590
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,16870
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,700
East Asia & Pacific (IDA & IBRD countries),TEA,8386.49582727454
Europe & Central Asia (IDA & IBRD countries),TEC,8862.01926607565
Togo,TGO,690
Thailand,THA,7260
Tajikistan,TJK,1030
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,8679.7005809265
Timor-Leste,TLS,1890
Middle East & North Africa (IDA & IBRD countries),TMN,
Tonga,TON,
South Asia (IDA & IBRD),TSA,2018.59199325412
Sub-Saharan Africa (IDA & IBRD countries),TSS,1550.18207125541
Trinidad and Tobago,TTO,16890
Tunisia,TUN,3360
Turkey,TUR,9610
Tuvalu,TUV,5620
Tanzania,TZA,1080
Uganda,UGA,780
Ukraine,UKR,3370
Upper middle income,UMC,9073.9744633453
Uruguay,URY,16230
United States,USA,65760
Uzbekistan,UZB,1800
St. Vincent and the Grenadines,VCT,7460
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,2540
Vanuatu,VUT,3170
World,WLD,11569.8377986724
Samoa,WSM,4180
Kosovo,XKX,4640
"Yemen, Rep.",YEM,
South Africa,ZAF,6040
Zambia,ZMB,1450
Zimbabwe,ZWE,1390
Falkland Islands,FLK,52235
Montserrat,MSR,10615
Pitcairn Islands,PCN,
Kosovo,RKS,4470
Taiwan,TWN,26514
