CountryCode,Urban population (% of total population),Population ages 65 and above (% of total population),GDP per capita (current US$),Obesity Rate (%),Cancer Rate (%),Share of Deaths from Smoking (%),Pneumonia Death Rate (per 100K),Share of Deaths from Air Pollution (%),CO2 emissions (metric tons per capita),Air transport (# carrier departures worldwide)
EGY,42.704,5.229779346,2549.132252,32,0.543731123,13.88,33.5519322,12.12,2.232732005,104473
SLV,72.023,8.287090005,4058.252439,24.6,0.813825469,5.34,43.20066203,6.39,0.998428944,27601
EST,68.88,19.62635685,23266.34627,21.2,2.20173988,14.12,9.192635012,2.96,14.84881917,790
SWZ,23.799,4.014587941,4145.974112,16.5,0.551662124,4.93,97.87967456,5.6,1.098404505,0
FIN,85.382,21.72078755,50152.34014,22.2,2.353037036,10.24,5.057654295,2.05,8.660721243,125804
FRA,80.444,20.03462475,41463.64402,21.6,2.091774092,13.64,10.98052703,3.28,4.573181595,597412
GMB,61.27,2.589980939,716.118489,10.3,0.331867104,4.9,112.0379285,9.39,0.253640982,625
DEU,77.312,21.461962,47603.02763,22.3,2.398478606,14.94,11.42272633,4.42,8.889370395,922648.6435
GHA,56.06,3.068898007,2202.312164,10.9,0.465036577,2.9,114.9090784,7.48,0.531371738,14373
GRC,79.058,21.65527208,20324.25356,24.9,1.85735654,20.29,14.40514319,5.77,6.180337268,144040
GUM,94.78,9.849910719,35712.56214,,1.013283135,9.25,31.30552592,6.09,0,0
GTM,51.054,4.812072508,4549.010081,21.2,0.574118049,4.23,81.44076798,8.07,1.151000836,3205
GUY,26.606,6.450271243,4979.002188,20.2,0.67575984,7.41,45.84605489,6.49,2.632392779,1931
HND,57.096,4.690617659,2500.113213,21.4,0.577602037,8.95,15.89088323,6.57,1.057648023,14832
HKG,100,16.87504833,48675.61646,,,,,,6.393600526,245146
HUN,71.351,19.15772538,16161.98051,26.4,1.7429261,19.67,5.650862974,6.37,4.265574976,183541
ISL,93.813,14.79509256,73191.11632,21.9,2.513078688,14.65,14.79814866,2.67,6.059657407,54653.30259
IND,34.03,6.179955649,2009.978857,3.9,0.312306273,9.03,52.49725845,12.52,1.727670507,1200111.363
IDN,55.325,5.857165613,3893.596078,6.9,0.426835825,13.85,26.57089914,7.53,1.81937838,959307.381
IRN,74.898,6.184573806,5627.749268,25.8,0.863271746,10.24,15.39041239,7.66,8.384101101,228803.6158
IRQ,70.473,3.323599663,5834.166211,30.4,0.419400518,7.51,10.38641099,6.2,4.89491703,21071
IRL,63.17,13.8658017,78806.432,25.3,2.354530107,18.48,17.5937044,3.61,7.313939808,935961
ISR,92.418,11.97698602,41715.02928,26.1,1.452405519,13.34,17.84839215,5.68,7.863181348,53901
ITA,70.438,22.7516796,34483.204,19.9,2.277105536,13.64,7.11485387,4.72,5.270866786,256596
JPN,91.616,27.57636991,39289.95843,4.3,2.985185404,14.58,22.15590461,3.61,9.538706103,999594
JOR,90.979,3.846490398,4241.788782,35.5,0.704068038,12.13,18.11428306,7.08,2.965238308,36127
KAZ,57.428,7.391846271,9812.601137,21,0.82055031,14.92,21.92918198,5.94,14.36316974,83287
KEN,27.03,2.339186612,1710.510097,7.1,0.377934053,3.39,93.61514343,6.54,0.305923722,137602.1784
RKS,,,,,,,,,,
KWT,100,2.550472384,33994.40657,37.9,0.729435743,13.89,28.69543854,10.75,25.84922928,46450
KGZ,36.351,4.494727976,1281.363661,16.6,0.574531,11.21,14.24027696,8.3,1.646395339,16344.37197
LAO,35.004,4.075149964,2542.486528,5.3,0.41110246,11.8,69.69277779,11,0.294364883,10172.84292
LBN,88.593,7.002368134,8269.787676,32,2.200755247,19.08,13.90359598,8.23,3.843598231,25740
LSO,28.153,4.901087497,1299.153126,16.6,0.522848771,7.35,120.1029033,6.83,1.207715726,0
LUX,90.981,14.18315418,116639.888,22.6,2.563117583,15.19,13.35703721,3.79,17.36212137,51824
MAC,100,10.48420293,87208.53591,,,,,,2.174572354,24411
MDG,37.191,2.986717126,527.501285,5.3,0.414500993,3.15,117.1435165,10.13,0.130420845,10170
MWI,16.937,2.64543493,389.3980332,5.8,0.468143301,2.96,91.62136892,6.78,0.078339597,2327
MYS,76.036,6.671754625,11373.233,15.6,0.783179443,14.32,112.9098132,6.87,8.130210313,476733
MLI,42.356,2.507229758,899.6599081,8.6,0.393821527,1.4,60.93683904,6.19,0.083369355,0
MRT,53.672,3.141112158,1188.834588,12.7,0.483407624,2.63,83.33593901,8.27,0.689388119,5636.839472
MUS,40.793,11.47417307,11238.69039,10.8,0.772651479,10.9,22.7451741,7.31,3.353110472,14940
MEX,80.156,7.223684981,9673.443674,28.9,0.894715491,7.25,19.82003555,6.76,3.990446149,590727
MNG,68.445,4.083538787,4121.732435,20.6,0.631546393,13.83,21.81236685,7.84,7.088025678,7777
MAR,62.453,7.012904821,3222.200634,26.1,0.62808944,8.33,21.61185389,8.92,1.750794556,80154
MOZ,35.988,2.890764457,498.9572202,7.2,0.457598238,3.82,95.97107882,5.64,0.320578017,10479
MMR,30.579,5.784641933,1325.952924,5.8,0.586053381,16.61,59.3317367,11.07,0.41375859,64397.96449
NAM,50.032,3.636031681,5931.453886,17.2,0.543290319,6.76,74.07970846,6.06,1.651692817,14543
NLD,91.49,19.19619263,53024.05921,20.4,2.818549509,20.25,16.39636629,4.42,9.920138075,325942.296
NZL,86.538,15.65242453,41945.33167,30.8,3.211580864,12.89,8.137243446,2.13,7.686575825,187851
NIC,58.522,5.247497448,2028.894755,23.7,0.612097552,6.36,16.28074206,6.51,0.791576323,0
NER,16.425,2.595007883,413.980305,5.5,0.353763204,0.94,119.9041305,8.93,0.110542757,0
NGA,50.344,2.747377005,2028.18197,8.9,0.573096291,0.85,92.92574979,7.21,0.545794085,77482.72652
NOR,82.248,17.04922216,81697.24598,23.1,3.149720455,14.26,15.27950426,2.79,9.270945132,0
OMN,84.539,2.392786956,16415.15728,27,0.645021569,8.23,26.64407744,8.07,15.18879511,76672
PAK,36.666,4.312774311,1482.403063,8.6,0.597205025,9.08,35.0810628,9.04,0.851472804,48542
PAN,67.709,8.10473108,15575.07255,22.7,0.982381717,8.12,22.63322706,4.5,2.255854757,119148
PNG,13.169,3.445269251,2730.274799,21.3,0.596347202,12.45,113.2314881,11.98,0.795074226,41545.17078
PRY,61.585,6.430215009,5821.814323,20.3,0.682727349,13.12,26.54566891,6.46,0.864029477,4215
PER,77.907,8.088392792,6941.235848,19.7,0.655925982,4.97,51.43508834,6.75,2.051984358,141025.363
PHL,46.907,5.122568768,3102.713363,6.4,0.593539368,14.06,126.0522128,9.66,1.05114223,292450
POL,60.058,17.51781676,15420.91116,23.1,1.635208395,19.39,15.88291442,6.25,7.517151585,123903
PRT,65.211,21.95385754,23407.90659,20.8,1.761483237,10.43,24.58782313,3.8,4.331554028,182753
PRI,93.578,18.67485021,31651.34815,,1.24440414,5.4,21.79625886,3.7,0,0
QAT,99.135,1.370070339,68793.78444,35.1,0.998635471,7.39,18.80268861,9.2,43.85730795,197811
ROU,53.998,18.33870139,12301.1864,22.5,1.633056952,15.51,21.69072367,5.79,3.516153691,55637
RUS,74.433,14.67470832,11288.87845,23.1,1.754436206,16.41,17.73043811,5.42,11.85752777,885094
RWA,17.211,2.938196078,772.9444599,5.8,0.441838617,5.56,93.22594955,8.1,0.075764224,18439
SAU,83.844,3.314088023,23338.96346,35.4,0.908721275,5.92,28.64011854,9.23,19.44066648,254063.7469
SRB,56.092,18.34579269,7246.731656,21.5,1.761549381,19.99,10.30197527,8.01,5.282521917,28160
SYC,56.691,7.594545604,16433.93529,14,1.287976966,11.54,79.01521626,5.43,5.418677963,18671
SLE,42.055,2.966556211,533.9911843,8.7,0.407415789,3.42,138.2487198,8.57,0.186560088,0
SGP,100,11.46338019,64581.94402,6.1,2.174969716,12.1,41.84535578,6.64,10.30633191,208787
SVK,53.726,15.6292465,19442.70576,20.5,2.11595951,15.61,20.22993263,5.96,5.661581328,0
SVN,54.541,19.60687965,26123.97387,20.2,2.073678982,14.89,12.24346427,4.6,6.213686845,18444
ZAF,66.355,5.318005005,6374.028196,28.3,0.556269555,6.3,62.16391298,4.96,8.979062348,180317.186
KOR,81.459,14.41855583,31362.75147,4.7,2.210582796,16.04,17.67501381,5.79,11.57034541,526374
SSD,19.615,3.39848288,1119.651332,,0.448355243,2.45,140.1842424,9.33,0.141748232,0
ESP,,,,23.8,2.119853473,15.36,10.16887927,4.11,,
LKA,18.476,10.47321975,4102.48135,5.2,0.537432573,10.07,24.19874754,6.67,0.885247473,34425
SDN,34.642,3.581160528,977.2736357,,0.423723785,1.37,30.39750247,8.65,0.299732598,3170
SWE,87.431,20.09552493,54608.36025,20.6,2.433869445,14.35,11.20746289,2.45,4.478182178,0
CHE,,,,19.5,2.110949955,14.98,7.886846735,3.58,,
SYR,54.162,4.503124421,2032.623489,27.8,0.572073777,8.77,16.78564351,6.65,1.640539063,167.7535302
TWN,,,,,2.715254451,15.45,33.59103582,7.08,,
TZA,33.776,2.601299178,1060.994615,8.4,0.448789036,4.43,94.56126331,7.9,0.231426985,51577
THA,49.949,11.90089314,7273.563207,10,0.629747052,12.03,40.42401088,6.55,4.620377146,475886.496
TTO,53.184,10.73495352,17129.91309,18.6,0.964836513,8.86,20.19768675,7.94,33.96641445,32770
TUN,68.945,8.315679079,3447.50791,26.9,0.731108244,16.2,16.03659247,8.68,2.605932406,41446
TUR,75.143,8.48321294,9370.176344,32.1,0.95246871,19.16,13.36273825,9.94,4.479773496,772925.545
UGA,23.774,1.94098692,642.7767443,5.3,0.52120401,2.39,78.81358709,5.85,0.141664527,4832
UKR,69.352,16.43468644,3095.173581,24.1,1.602203378,16.97,15.16317002,7.27,5.020747064,66712
ARE,,,,31.7,0.930793187,9.51,45.83255643,7.85,,
GBR,,,,27.8,2.791155517,15.27,24.11005138,4.08,,
USA,82.256,15.80765406,62794.58565,36.2,5.42440701,14.77,15.88386085,3.76,16.50283724,9879630
URY,95.334,14.81451953,17277.97011,27.9,1.489823658,14.13,24.11213092,3.56,1.984240835,0
UZB,50.478,4.419137878,1532.371677,16.6,0.587011732,10.19,35.11694115,9.67,3.420722746,21514
VEN,88.208,7.26698662,16054.49051,25.6,1.134870218,9.23,19.74587517,5.33,6.164731034,24986
VNM,35.919,7.274978298,2566.59695,2.1,0.603065672,14.24,22.97805645,8.28,1.819893977,283787
ZMB,43.521,2.099678026,1539.900158,8.1,0.474567911,3.68,93.85563273,6,0.292412222,734
ZWE,32.209,2.939523653,2146.996385,15.5,0.566520697,7.41,137.6330045,7.67,0.884721294,3444
